                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.4751,                 2.1582,                 1.8062,                 1.2041,                0.21765,                0.47065,                0.27171,                0.05992,                0.19407,                 0.4233,                0.19853,                0.04413,                 3.0085,                 1.9728,                 2.1435,                 1.0733,              0.0015581,              0.0015581,              0.0015581
                     68,                 2.3636,                 1.8704,                 1.7049,                 1.2784,                0.35589,                0.44444,                0.42646,                0.09999,                0.27637,                0.56405,                 0.3163,                0.07936,                 3.0181,                 1.8559,                 2.2115,                 1.0119,              0.0015564,              0.0015564,              0.0015564
                     69,                 2.2903,                 1.5997,                 1.8997,                 1.3375,                0.35589,                0.44444,                0.42646,                0.09999,                0.27637,                0.56405,                 0.3163,                0.07936,                 3.0181,                 1.8559,                 2.2115,                 1.0119,              0.0015548,              0.0015548,              0.0015548
                     70,                 2.5271,                 2.1722,                 1.9266,                 1.2001,                0.24409,                 0.2963,                0.23521,                0.05672,                0.26827,                0.48148,                0.37603,                0.09512,                 3.0974,                 1.8166,                 2.5679,                 1.0161,              0.0015531,              0.0015531,              0.0015531
                     71,                 2.5079,                 1.7408,                 1.8257,                 1.3082,                0.24409,                 0.2963,                0.23521,                0.05672,                0.26827,                0.48148,                0.37603,                0.09512,                 3.0974,                 1.8166,                 2.5679,                 1.0161,              0.0015515,              0.0015515,              0.0015515
                     72,                 2.3894,                 1.7621,                 1.9022,                 1.2437,                0.28654,                0.27778,                0.25478,                0.05293,                 0.1846,                0.48148,                0.21455,                0.06493,                 3.0661,                 1.9072,                 3.3884,                 1.0261,              0.0015498,              0.0015498,              0.0015498
                     73,                 2.5307,                 1.7425,                 1.9523,                  1.331,                0.28654,                0.27778,                0.25478,                0.05293,                 0.1846,                0.48148,                0.21455,                0.06493,                 3.0661,                 1.9072,                 3.3884,                 1.0261,              0.0015482,              0.0015482,              0.0015482
                     74,                 2.4593,                 1.5902,                 1.8738,                 1.2504,                0.21414,                0.38889,                0.22136,                0.05504,                0.19689,                0.42593,                0.21042,                0.04856,                  3.076,                 2.1805,                 3.3894,                 1.0099,              0.0015465,              0.0015465,              0.0015465
                     75,                 2.3176,                 1.8519,                 1.6695,                 1.3367,                0.21414,                0.38889,                0.22136,                0.05504,                0.19689,                0.42593,                0.21042,                0.04856,                  3.076,                 2.1805,                 3.3894,                 1.0099,              0.0015449,              0.0015449,              0.0015449
                     76,                 2.4114,                 1.7745,                 1.7207,                 1.2065,                0.21094,                0.40741,                  0.225,                0.05514,                0.21499,                0.37037,                0.20478,                0.05295,                 3.0189,                  2.122,                 3.6564,                 1.0063,              0.0015432,              0.0015432,              0.0015432
                     77,                 2.4228,                 1.8515,                 1.6708,                  1.332,                0.21094,                0.40741,                  0.225,                0.05514,                0.21499,                0.37037,                0.20478,                0.05295,                 3.0189,                  2.122,                 3.6564,                 1.0063,              0.0015416,              0.0015416,              0.0015416
